Tottenham - Millwall,1.12,1
Arsenal - Lincoln City,1.05,1
Middlesbrough - Manchester City,1.35,1
Manchester City - Huddersfield&nbsp;,1.11,1
Sutton - Arsenal&nbsp;,1.1,1
Blackburn - Manchester United&nbsp;,1.22,1
Wolves - Chelsea&nbsp;,1.31,1
Huddersfield - Manchester City&nbsp;,1.28,0
Burnley - Lincoln City&nbsp;,1.29,0
Manchester United - Wigan&nbsp;,1.16,1
Chelsea - Brentford&nbsp;,1.18,1
Crystal Palace - Manchester City&nbsp;,1.49,1
Middlesbrough - Accrington&nbsp;,1.31,1
Tottenham - Wycombe&nbsp;,1.13,1
Liverpool - Wolves&nbsp;,1.31,0
Plymouth - Liverpool&nbsp;,1.2,1
Southampton - Norwich&nbsp;,1.42,1
Tottenham - Aston Villa&nbsp;,1.29,1
Chelsea - Peterborough&nbsp;,1.09,1
Liverpool - Plymouth&nbsp;,1.11,0
Preston - Arsenal&nbsp;,1.35,1
Tottenham - Millwall,1.12,1
Arsenal - Lincoln City,1.05,1
Middlesbrough - Manchester City,1.35,1
Manchester City - Huddersfield&nbsp;,1.11,1
Sutton - Arsenal&nbsp;,1.1,1
Blackburn - Manchester United&nbsp;,1.22,1
Wolves - Chelsea&nbsp;,1.31,1
Huddersfield - Manchester City&nbsp;,1.28,0
Burnley - Lincoln City&nbsp;,1.29,0
Manchester United - Wigan&nbsp;,1.16,1
Chelsea - Brentford&nbsp;,1.18,1
Crystal Palace - Manchester City&nbsp;,1.49,1
Middlesbrough - Accrington&nbsp;,1.31,1
Tottenham - Wycombe&nbsp;,1.13,1
Liverpool - Wolves&nbsp;,1.31,0
Plymouth - Liverpool&nbsp;,1.2,1
Southampton - Norwich&nbsp;,1.42,1
Tottenham - Aston Villa&nbsp;,1.29,1
Chelsea - Peterborough&nbsp;,1.09,1
Liverpool - Plymouth&nbsp;,1.11,0
Preston - Arsenal&nbsp;,1.35,1
Tottenham - Millwall,1.12,1
Arsenal - Lincoln City,1.05,1
Middlesbrough - Manchester City,1.35,1
Manchester City - Huddersfield&nbsp;,1.11,1
Sutton - Arsenal&nbsp;,1.1,1
Blackburn - Manchester United&nbsp;,1.22,1
Wolves - Chelsea&nbsp;,1.31,1
Huddersfield - Manchester City&nbsp;,1.28,0
Burnley - Lincoln City&nbsp;,1.29,0
Manchester United - Wigan&nbsp;,1.16,1
Chelsea - Brentford&nbsp;,1.18,1
Crystal Palace - Manchester City&nbsp;,1.49,1
Middlesbrough - Accrington&nbsp;,1.31,1
Tottenham - Wycombe&nbsp;,1.13,1
Liverpool - Wolves&nbsp;,1.31,0
Plymouth - Liverpool&nbsp;,1.2,1
Southampton - Norwich&nbsp;,1.42,1
Tottenham - Aston Villa&nbsp;,1.29,1
Chelsea - Peterborough&nbsp;,1.09,1
Liverpool - Plymouth&nbsp;,1.11,0
Preston - Arsenal&nbsp;,1.35,1
Tottenham - Millwall,1.12,1
Arsenal - Lincoln City,1.05,1
Middlesbrough - Manchester City,1.35,1
Manchester City - Huddersfield&nbsp;,1.11,1
Sutton - Arsenal&nbsp;,1.1,1
Blackburn - Manchester United&nbsp;,1.22,1
Wolves - Chelsea&nbsp;,1.31,1
Huddersfield - Manchester City&nbsp;,1.28,0
Burnley - Lincoln City&nbsp;,1.29,0
Manchester United - Wigan&nbsp;,1.16,1
Chelsea - Brentford&nbsp;,1.18,1
Crystal Palace - Manchester City&nbsp;,1.49,1
Middlesbrough - Accrington&nbsp;,1.31,1
Tottenham - Wycombe&nbsp;,1.13,1
Liverpool - Wolves&nbsp;,1.31,0
Plymouth - Liverpool&nbsp;,1.2,1
Southampton - Norwich&nbsp;,1.42,1
Tottenham - Aston Villa&nbsp;,1.29,1
Chelsea - Peterborough&nbsp;,1.09,1
Liverpool - Plymouth&nbsp;,1.11,0
Preston - Arsenal&nbsp;,1.35,1
Tottenham - Millwall,1.12,1
Arsenal - Lincoln City,1.05,1
